location,checkout,dairy,drinks,fruit,spices,entrance
checkout,1,0,0,0,0,0
dairy,0.103465736469,0.736750309440756,0.058568695847868,0.049848092719703,0.051367165522674,0
drinks,0.215710466790047,0.01089862224964,0.598498869010899,0.087908698334362,0.086983343615053,0
fruit,0.201605288007554,0.09592382751023,0.054847340258105,0.596946805162103,0.050676739062008,0
spices,0.150684931506849,0.193214399490284,0.163109270468302,0.090952532653711,0.402038865880854,0
entrance,0,0.28757555406313,0.153525856279382,0.377434519811954,0.181464069845534,0
